།	punc -
གནག་ལུག་	n.count -
གནང་	v.fut.v.pres -	v.invar -	v.past -	v.past.v.pres -
གནང་ཆུང་དབྱར་	n.count -
གནང་བ	n.v.fut.n.v.pres -	n.v.invar -
གནང་བ་	n.v.fut.n.v.pres -	n.v.invar -
གནང་ཚུལ་	n.v.invar -
གནང་ལུགས་	n.v.fut.n.v.pres -
གནངས་	adv.temp -
གནད	n.count -
གནད་	n.count -
གནམ་	n.count -
གནམ་ས་	n.count -
གནའ་	adv.temp -
གནའ་མ	n.count -
གནའ་མ་	n.count -
གནར་བ་	n.v.fut.n.v.pres -
གནས་	n.count -	v.invar -
གནས་གཡའ་ཁྲོད་	n.count -
གནས་གསུམ་མཁའ་འགྲོ	n.count -
གནས་ཆེན་	n.count -
གནས་པ	n.v.invar -
གནས་པ་	n.v.invar -
གནས་མལ་	n.count -
གནས་མོ་	n.count -
གནུབས་ཁུ་ལུང་	n.prop -
གནུབས་ཆུང་པ་	n.prop -
གནོང་	n.count -
གནོང་འགྱོད་	n.count -
གནོད་	v.invar -
གནོད་པ	n.v.invar -
གནོད་པ་	n.v.invar -
གནོད་འཚེ་	n.count -
གནོན	v.pres -
གནོན་པ་	n.v.pres -
གབ་ཡིག་	n.count -
གམ	cv.ques -
གམ་	cv.ques -
གཙང་	n.prop -
གཙང་པོ་	n.prop -
གཙང་མ	adj -
གཙང་རོང་	n.prop -
གཙང་རོང་སྣར་	n.prop -
གཙང་ལ་སྟོད་	n.prop -
གཙང་སིལ་མ་	n.prop -
གཙུག་	n.count -
གཙེས་པ	n.v.past -
གཙོ་	n.count -
གཙོ་བོ	adj -
གཙོ་བོ་	adj -
གཞག་	v.fut -
གཞན་	d.det -
གཞན་ཐོས་ལོ་	n.count -
གཞན་དོན་	n.count -
གཞན་ཡུལ་པ་	n.count -
གཞལ་ཡས་	adj -
གཞི་	n.count -
གཞི་བདག་	n.count -
གཞི་རྩ་	n.count -
གཞིས་	n.count -
གཞུ་མཆོག་	n.count -
གཞུ་མོ་	n.count -
གཞུང་	n.count -	n.prop -
གཞུན་པོ་	adj -
གཞོན	v.invar -
གཞོན་	n.count -
གཞོན་ནུ	adj -
གཞོན་ནུ་	adj -
གཞོན་པ་	n.count -
གཞོན་སོ་དཀར་	n.count -
གཟན	v.invar -
གཟན་པ་	n.v.past.n.v.pres -
གཟབ་པ་	n.v.fut.n.v.pres -
གཟའ་	n.count -
གཟའ་གདོང་དམར་ནག་	n.prop -
གཟིགས་	v.imp -	v.invar -	v.past.v.pres -
གཟིགས་པ	n.v.invar -
གཟིགས་པ་	n.v.invar -
གཟིགས་ས་	n.v.invar -
གཟིམས་ཁང་	n.count -
གཟུག་	n.count -
གཟུག་གེ་བ་	adj -
གཟུགས་	n.count -
གཟུགས་བརྙན་	n.count -
གཟུགས་སྐུ་ཆོས་དབྱིངས་	n.count -
གཟུང་	v.pres -
གཟེངས་	v.invar -
གཟེངས་པ་	n.v.invar -
གཟེར་ཚོམ་	n.count -
གཟོ་	v.invar -
གཟོད་	adv.temp -
གཡག་སྡེ་	n.prop -
གཡང་	n.count -
གཡང་ཚེ་	n.count -
གཡབས་	v.past -
གཡའ་	n.count -
གཡའ་ཁྲོད་གངས་ཁྲོད་ནགས་ཁྲོད་	n.count -
གཡར	v.invar -
གཡར་	v.invar -	v.past.v.pres -
གཡར་བ	n.v.fut.n.v.pres -
གཡས་	n.count -
གཡུ་	n.count -
གཡུ་དྲུག་	n.count -
གཡུ་འབྲུག་	n.count -
