།	punc -
ཁྲི་ལྡེ་གཙུག་བརྟན་	n.prop -
ཁྲི་ལྡེ་པོ	n.prop -
ཁྲི་ལྡེ་བཙན་	n.prop -
ཁྲི་ལྡེ་མགོན་པོ	n.prop -
ཁྲི་ལྡེ་སྲོང་བཙན་	n.prop -
ཁྲི་སྐྱིད་ལྡེ་ཉི་མ་མགོན་	n.prop -
ཁྲི་སྟོན་བརྩོན་འབར་	n.prop -
ཁྲི་སྲོང་ལྡེ་བཙན་	n.prop -
ཁྲིད་	v.fut.v.past -	v.past -
ཁྲིད་པ་	n.v.fut.n.v.past -
ཁྲིམས་	n.count -
ཁྲིམས་ཕོག	n.count -
ཁྲིམས་ལྡན་	adj -
ཁྲིའུ་སྟན་	n.count -
ཁྲིལ་མ་	n.prop -
ཁྲུད་མ་	n.count -
ཁྲུས་	n.count -	v.past -
ཁྲུས་ཆུ་ལྷ	n.count -
ཁྲེལ་	v.invar -
ཁྲོ་	n.count -
ཁྲོ་ཕུ	n.prop -
ཁྲོ་ཕུ་	n.prop -
ཁྲོ་བོ་	n.count -
ཁྲོ་ལོ་	n.prop -
ཁྲོད་	n.rel -
ཁྲོན་པ	n.count -
ཁྲོན་པ་	n.count -
ཁྲོས་	v.past -
ག	d.det -	p.interrog -
ག་	d.det -	p.interrog -	skt -
ག་གོན་	n.prop -
ག་དྷ་ར་	n.prop -
ག་ཡ	n.prop -
ག་ཡ་	n.prop -
ག་ཡ་གོ་རིའི་མདོ་	n.prop -
ག་ཡ་ངྷ་ར་	n.prop -
ག་ཡ་དྷ་ར་	n.prop -
ག་རེ	p.interrog -
ག་རེ་	p.interrog -
གང་	adj -	dunno -	p.interrog -	v.invar -
གང་གཱ	n.prop -
གང་གཱ་དྷ་ར་	n.prop -
གང་གླིང་	n.count -
གང་པོ	n.prop -
གང་པོ་	n.prop -
གང་བ་	n.prop -	n.v.invar -
གང་བ་བཟང་	n.prop -
གང་བ་སྤེལ་	n.prop -
གང་ཚེ་དངོས་	n.count -
གང་ཟག	n.count -
གང་ཟག་	n.count -
གང་ཟག་རྣམ་པ	n.count -
གང་ཟག་ལས་	n.count -
གང་ཟག་ལུང་	n.count -
གངས་ཅན་	n.count -	n.prop -
གངས་རི	n.count -
གངས་རི་	n.count -	n.prop -
གངྒཱ	n.prop -
གངྒཱ་	n.prop -
གཅད་	v.fut -
གཅན་གཟན་	n.count -
གཅན་གཟན་ཚོགས་	n.count -
གཅིག	num.card -
གཅིག་	num.card -
གཅིག་པ	adj -
གཅིག་པ་	adj -	num.ord -
གཅིག་པུ	adj -
གཅིག་པུ་	adj -
གཅིག་པོ་	adj -
གཅིག་ལས་འཕྲོས་པ་	n.prop -
གཅིག་ལས་འཕྲོས་པའི་ལུང་	n.prop -
གཅིན་རྟུག་	n.count -
གཅུང་	n.count -
གཅུང་ཅན་	n.count -
གཅུང་པོ་	n.count -
གཅེན་	n.count -
གཅེར་ར་བུ་པ་གཉེན་གྱི་བུ	n.prop -
གཅེས་པ	n.v.invar -
གཅེས་པ་	n.v.invar -
གཅེས་འཛིན་	n.count -
གཅོད	v.pres -
གཅོད་	v.imp -	v.pres -
གཅོད་པ	n.v.pres -
གཅོད་པ་	n.v.pres -
གཅོད་བྱེད་ཚེ་	n.count -
གཉ	n.count -
གཉགས་ཛྙཱ་ན་ཀུ་མ་ར	n.prop -
གཉན་	n.count -
གཉན་དར་མ་གྲགས་	n.prop -
གཉན་པོ་གསང་བ་	n.prop -
གཉའ་ཁྲི་བཙན་པོ	n.prop -
གཉའ་བ་	n.count -
གཉའ་ཤིང་	n.count -
གཉིད	v.invar -
གཉིད་	n.count -	v.invar -
གཉིད་རྨུགས་	n.count -
གཉིས	num.card -
གཉིས་	num.card -
གཉིས་པ	num.ord -
གཉིས་པ་	num.ord -
གཉིས་པོ	num.card -
གཉིས་པོ་	n.count -	num.card -
གཉིས་མེད་	adj -
གཉིས་མེད་ཡེ་ཤེས་གསུང་མད	n.count -
གཉེད་	n.count -
གཉེན་	n.count -
གཉེན་པ	n.count -
གཉེན་པོ	n.count -
གཉེན་པོ་	n.count -
གཉེན་མཚམས་	n.count -
གཉེར་	v.fut.v.pres -	v.invar -
གཉེར་པ་	n.v.past.n.v.pres -
གཉེར་བ	n.v.fut.n.v.pres -
གཉེར་བ་	n.v.fut.n.v.pres -
གཉེར་སྟག་བཙན་སྟོང་གཟིགས་	n.prop -
གཉོས་མོ	n.prop -
གཎྜཱི་	n.count -
གཎྜི	n.prop -
གཏང་རག་	n.count -
གཏད	v.fut.v.past -
གཏད་	v.fut.v.past -	v.past -
གཏད་པ	n.v.fut.n.v.past -
གཏད་པ་	n.v.fut.n.v.past -
གཏད་རབས་	n.count -
