།	punc -
གདན་བཞི་གསང་འདུས་བདེ་མཆོག་སྐོར	n.count -
གདན་འདྲེན་	n.count -
གདན་ས་	n.count -
གདབ་	v.fut -
གདབས་	dunno -
གདམས་ངག་	n.count -
གདམས་ངག་ཆོས་	n.count -
གདམས་ངག་ཉམས་ལེན་	n.count -
གདམས་ངག་རིན་ཆེན་	n.count -
གདམས་དག་	n.count -
གདམས་པ	n.v.fut.n.v.past -
གདམས་པ་	n.count -	n.v.fut.n.v.past -
གདའ	v.invar -
གདའ་	v.fut.v.pres -	v.invar -
གདའ་བ	n.v.invar -
གདའ་བ་	n.v.invar -
གདལ་བ	n.v.fut.n.v.pres -
གདུག་པ་སྦྲུལ་	n.count -
གདུགས་	n.count -
གདུང་པ	n.v.fut.n.v.pres -
གདུང་བ	n.v.fut.n.v.pres -
གདུང་བ་	n.v.fut.n.v.pres -
གདུང་ཚན་	n.count -
གདུང་འཚོབ་	n.count -
གདུང་ཤུགས་	n.count -
གདུང་སེམས་	n.count -
གདུང་སེམས་ཅན	adj -
གདུངས་	v.past -
གདུངས་པ	n.v.past -
གདུངས་པ་	n.v.past -
གདུལ་བྱ	n.count -
གདུལ་བྱ་	n.count -
གདེང་	n.count -
གདེང་ཅན་	adj -
གདེངས	n.count -
གདེངས་	n.count -
གདོང་	n.count -
གདོང་པ་	n.count -
གདོད་	adv.temp -	n.count -
གདོན་	n.count -
གདོལ་པ	n.count -
གདོལ་པ་	n.count -
གདོལ་པ་ཅན་	n.count -
གནག་ལུག་	n.count -
གནང་	v.fut.v.pres -	v.invar -	v.past -	v.past.v.pres -
གནང་བ	n.v.invar -	n.v.past -
གནང་བ་	n.v.invar -
གནང་བྱིན་རླབས་	n.count -
གནང་ཚུལ	n.v.invar -
གནངས་	adv.temp -
གནངས་ཉིན་	n.count -
གནད	n.count -
གནད་	n.count -
གནས	v.fut.v.pres -
གནས་	n.count -	v.fut.v.pres -	v.invar -
གནས་ཆེན་	n.count -
གནས་ཐབས་	n.count -
གནས་པ	n.v.fut.n.v.pres -	n.v.invar -
གནས་པ་	n.v.invar -
གནས་པོ་	n.count -
གནས་ཚུལ་	n.v.invar -
གནས་འབྲེལ་	n.count -
གནས་ལུགས་	n.v.invar -
གནོང་འགྱོད་	n.count -
གནོད་	v.fut.v.pres -	v.invar -
གནོད་པ་	n.v.invar -
གནོད་བྱེད་	n.count -
གནོད་སྐྱེལ་	n.count -
གནོན	v.pres -
གནོན་པ་	n.v.pres -
གམ་	cv.ques -	n.rel -
གཙང་	n.prop -
གཙང་གྱེར་ཕུ་	n.prop -
གཙང་པོ་	n.prop -
གཙང་མ	adj -
གཙང་རོང་	n.prop -
གཙང་ས	n.count -
གཙང་སྒྱེར་ཕུ	n.prop -
གཙུག་	n.count -
གཙུག་ལག་ཁང་	n.count -
གཙོ	n.count -
གཙོ་	n.count -
གཙོ་བོ	adj -
གཙོ་བོ་	adj -	n.count -
གཞན་	d.det -
གཞན་དོན་	n.count -
གཞན་ལུས་	n.count -
གཞལ་ཡས་	adj -
གཞི	n.count -
གཞི་	n.count -
གཞི་ཆོས་ཉིད་དོན་	n.count -
གཞི་བདག་	n.count -
གཞི་མེད་	adj -
གཞི་མེད་རྩ་བྲལ་འབྲས་བུ	n.count -
གཞི་ར་དགོན་པ་	n.prop -
གཞི་རང་དབང་	n.count -
གཞི་རྩ་	n.count -
གཞི་ལམ་འབྲས་བུ	n.count -
གཞི་སེམས་ཉིད་	n.count -
གཞུ	n.count -
གཞུ་	n.count -
གཞུང་	n.count -	n.prop -
གཞོགས་གཡས་	n.count -
གཞོན་ནུ	n.count -
གཞོན་ནུ་	adj -
གཞོན་པ	n.v.past.n.v.pres -
གཞོན་པ་	n.count -
གཟབས་པ་	n.v.past.n.v.pres -
གཟར་བུ	n.count -
གཟི་བརྗིད་	n.count -
གཟི་མདངས་ཅན	adj -
གཟིགས	v.invar -
གཟིགས་	v.fut.v.pres -	v.invar -	v.past.v.pres -
གཟིགས་པ	n.v.invar -
གཟིགས་པ་	n.v.invar -
གཟིགས་ཚུལ་	n.v.invar -
གཟིགས་སྣང་	n.count -
གཟིམས་	v.invar -
གཟིམས་ཁང་	n.count -
གཟིམས་པ	n.v.invar -
གཟིམས་མལ་	n.count -
གཟུགས	n.count -
གཟུགས་	n.count -
གཟུགས་ཐང་	n.count -
གཟུགས་བརྙན་	n.count -
གཟུགས་མེད་	adj -
གཟུགས་སྐུ་	n.count -
གཟུང་	v.fut.v.pres -
གཟུང་བ	n.v.fut.n.v.pres -
གཟུང་བ་	n.v.fut -
གཟུང་འཛིན་	n.count -
གཟུང་འཛིན་རི་དྭགས་	n.count -
གཟོ་བ	n.v.invar -
གཟོད་	adv.temp -
གཡག་	n.count -
གཡག་རོ་	n.count -
གཡག་རྒན་	n.count -
གཡང་	n.count -
གཡབ་	v.invar -
གཡའ་	dunno -
གཡར་	v.invar -	v.past.v.pres -
གཡར་པོ་	n.count -
གཡས་	n.count -
གཡས་གཡོན་	n.count -
གཡས་པ་	n.v.invar -
གཡས་བརྐྱང་གར་	n.count -
གཡུ་	n.count -
གཡུ་འབྲུག་མགོ་དཀར་	n.prop -
གཡུལ་ངོ་	n.count -
གཡོ་	v.fut.v.pres -
གཡོ་བ	n.v.fut.n.v.pres -
གཡོ་བ་	n.v.fut.n.v.pres -
གཡོ་མེད་ནམ་མཁ	adj -	n.count -
གཡོ་འགུལ་	n.count -
གཡོག་	n.count -
གཡོག་རིགས་	n.count -
གཡོན་	n.count -
གཡོན་པ་	adj -
གཡོམ་	n.rel -
གཡོར་	v.fut.v.pres -	v.imp -
གཡོར་མོ་	n.count -
གཡོས	v.past -
གཡོས་	v.past -
གར་	n.count -
གར་མཁན་	n.count -
གལ་	n.count -
གཤགས་	v.past -
གཤགས་པ	n.v.invar -
གཤའ་མ	adj -
གཤར་བ་	n.v.fut.n.v.pres -
གཤིས་	dunno -
གཤེ་	v.invar -
གཤེ་བྱེད་སྐྱེ་བོ་	n.count -
གཤེགས	v.invar -
གཤེགས་	v.imp -	v.invar -	v.past -	v.past.v.pres -
གཤེགས་གྲབས་	n.v.invar -
གཤེགས་པ	n.v.invar -
གཤེགས་པ་	n.v.invar -
གཤོག་	n.count -	v.imp -
གཤོག་པ	n.v.fut.n.v.pres -
གཤོག་པ་	n.v.fut.n.v.pres -
གཤོག་རྒྱངས་	n.count -
གསང་	n.count -	v.invar -	v.past -
གསང་བ	n.v.invar -
གསང་བ་	n.v.invar -
གསང་བ་འདུས་པ་	n.prop -
གསང་མཚན་	n.count -
གསང་འདུས་	n.prop -
གསང་འདུས་པ་	n.prop -
གསང་འདུས་རྒྱུད་རྐྱང་	n.count -
གསང་སྒྲོགས་	n.count -
གསང་སྔགས་	n.count -
གསང་སྔགས་ཐབས་ལམ་	n.count -
གསང་སྔགས་ཕ་རྒྱུད་མ་རྒྱུད་	n.prop -
གསང་སྔགས་ཕྱག་ལེན་	n.count -
གསང་སྔགས་རྒྱལ་པོ་	n.count -
གསང་སྔགས་རྣལ་འབྱོར་པ	n.count -
གསང་སྔགས་ལམ་	n.count -
གསངན་བ་འདས་པ་	n.prop -
གསན	v.invar -
གསན་	v.fut.v.pres -	v.imp -	v.invar -	v.past.v.pres -
གསན་པ	n.v.past -	n.v.past.n.v.pres -	n.v.pres -
གསན་པ་	n.v.past.n.v.pres -
གསན་ཚུལ་	n.v.invar -
གསལ	v.fut.v.pres -
གསལ་	v.fut.v.pres -
གསལ་བ	n.v.fut.n.v.pres -
གསལ་བ་	n.v.fut.n.v.pres -
གསལ་འདེབས་	n.count -
གསུང	v.fut.v.pres -
གསུང་	dunno -	n.count -	v.fut.v.pres -	v.invar -	v.past.v.pres -
གསུང་གླེང་	n.count -
གསུང་དོན་	n.count -
གསུང་པ	n.v.fut.n.v.pres -
གསུང་པ་	n.v.fut.n.v.pres -
གསུང་བ	n.v.fut.n.v.pres -
གསུང་བ་	n.v.fut.n.v.pres -
གསུང་བགྲོས་	n.count -
གསུང་མགུར་	n.count -
གསུང་ཚད་	n.v.fut.n.v.pres -
གསུང་ཚུལ་	n.v.fut.n.v.pres -
གསུང་ཡིག་	n.count -
གསུང་སྒྲོས་	n.count -
གསུང་སྨྲ་	n.count -
གསུངས	v.past -
གསུངས་	n.count -	v.imp -	v.past -
གསུངས་པ	n.v.past -
གསུངས་པ་	n.v.past -
གསུངས་བ	n.v.past -
གསུངས་བ་	n.v.past -
གསུམ	num.card -
གསུམ་	num.card -
གསུམ་པ	num.ord -
གསུམ་པ་	num.ord -
གསུམ་པོ་	num.card -
